time,dataset,training_rounds,n_trials,auc,auprc,best_epoch
2026-05-21 15:23,Disney,200,10,60.72±6.90(75.28),13.79±7.68(30.17),62.30±67.08(184)
2026-05-21 15:27,book,250,10,57.83±0.77(58.94),2.56±0.20(2.97),44.80±68.61(248)
2026-05-21 15:30,Facebook,250,10,82.84±4.75(88.82),8.29±2.99(13.44),51.70±47.88(174)
2026-05-21 15:31,cora,200,10,69.88±4.60(78.25),10.96±2.71(15.47),84.10±62.86(190)
2026-05-21 15:33,citeseer,250,10,80.92±7.09(91.68),18.52±7.27(31.47),95.50±81.41(247)
2026-05-21 15:35,twitter,250,10,54.27±1.20(56.84),10.97±0.33(11.57),91.60±46.18(190)
2026-05-21 15:37,tolokers,250,10,58.69±1.96(63.15),29.50±1.16(31.59),175.40±100.78(250)
2026-05-21 15:39,Amazon,200,10,57.43±5.83(63.53),8.78±2.19(13.33),43.20±28.40(85)
2026-05-21 20:20,ACM,250,10,80.85±2.18(84.24),14.05±3.87(22.14),66.40±80.10(247)
2026-05-21 21:18,Flickr,200,10,78.58±1.28(81.61),35.13±4.87(40.85),91.40±62.95(184)
2026-05-21 21:23,BlogCatalog,250,10,76.13±1.70(78.54),32.77±5.95(38.07),112.40±105.98(248)
2026-05-21 21:29,YelpChi,250,10,65.36±6.39(68.77),7.50±1.04(8.50),126.00±77.17(250)
2026-05-21 21:30,Reddit,200,10,55.21±2.75(60.49),4.11±0.75(5.49),71.80±48.96(138)
2026-05-21 21:31,weibo,200,10,99.02±0.48(99.36),94.27±2.89(96.24),33.00±12.17(68)
2026-05-21 21:33,questions,100,10,62.02±1.49(64.63),4.69±0.50(5.47),25.00±20.58(66)
